Postcode,ClassC_Pct,ClassC_Count,TotalViolations,ClassA_Count,ClassB_Count
10006,60.0,54,90,19,17
10038,44.3,188,424,141,95
10475,39.7,429,1080,218,433
10005,36.0,9,25,2,14
10010,35.6,356,1000,298,346
10009,35.5,1503,4231,1034,1694
10039,35.5,3023,8527,1414,4090
10030,35.5,3481,9808,2154,4173
10454,35.3,3203,9080,2028,3849
11210,35.3,3407,9664,1877,4380
